City,Cloudiness (%),Humidity (%),Latitude,Max Temperature (F),Wind Speed (mph)
Bathsheba,20,73,13.22,77.0,24.16
Baculin,8,88,7.45,81.79,6.06
Victoria,20,83,-4.62,78.8,3.36
Nhulunbuy,40,62,-12.18,89.6,10.29
Mlonggo,92,100,-6.53,77.25,8.75
Qasigiannguit,48,77,68.82,1.4,6.93
Torbay,90,100,47.66,28.4,3.36
Aklavik,90,76,68.22,-7.61,4.7
Talara,100,97,-4.58,73.06,4.27
Barrow,90,87,39.51,57.2,6.93
Chicama,90,83,-7.84,69.8,6.93
Bonfim,0,68,-20.33,71.6,6.93
Lalmohan,0,75,22.34,72.88,8.97
Lompoc,1,31,34.64,64.4,8.05
Cuiluan,12,48,47.72,8.94,3.83
Los Llanos de Aridane,0,82,28.66,60.8,6.93
Yulara,80,40,-25.24,87.8,5.82
Biak,12,87,-0.91,84.9,1.7
Padang,0,100,-0.92,82.11,3.94
Aykhal,64,78,65.95,-13.3,3.94
Mayo,90,84,63.59,5.0,2.71
Hetauda,75,87,27.43,51.8,2.24
Kainantu,8,54,-6.29,78.06,1.36
Bluff,88,85,-46.6,66.58,24.96
Conde,76,92,-11.81,78.01,6.17
Saint George,75,82,32.38,68.0,9.17
Dikson,36,81,73.51,-1.24,2.59
Lagoa,0,87,37.14,48.2,3.36
Vaini,75,58,-21.2,87.8,9.17
Mokhsogollokh,56,53,61.4,-4.88,7.74
Yining,100,99,29.04,50.07,2.82
Chiredzi,80,95,-21.05,69.69,2.93
Pangnirtung,36,51,66.15,-30.98,9.53
Gravdal,64,100,59.79,35.6,12.75
Khatanga,80,71,71.98,-5.65,4.94
Talnakh,88,73,69.49,-2.72,8.75
Klaksvik,12,75,62.23,41.0,14.99
Anadyr,90,92,64.73,28.4,35.79
Kerema,12,71,-7.96,84.09,3.27
Salalah,20,77,17.01,68.0,4.7
Vardo,0,100,70.37,28.74,18.37
Nova Olimpia,8,92,-14.8,75.36,0.69
Aswan,92,92,24.09,55.33,0.58
Beringovskiy,92,92,63.05,31.66,23.73
Manacapuru,0,94,-3.3,75.81,2.59
Guerrero Negro,80,79,27.97,67.21,5.17
Coquimbo,75,88,-29.95,62.6,4.7
Port Hardy,90,93,50.7,37.4,5.82
Russell,32,85,-35.26,75.76,9.53
Swellendam,12,87,-34.02,60.8,5.82
Borgo San Lorenzo,0,74,43.95,35.6,4.7
Gallup,90,69,35.53,39.2,3.36
Ndende,76,97,-2.4,71.67,1.7
Chota,92,99,-6.56,52.32,1.7
Port Elizabeth,0,93,-33.92,57.2,4.7
Martapura,40,94,-3.41,78.8,4.7
Soyo,88,93,-6.13,78.64,3.94
Grosseto,0,75,42.76,32.0,5.82
Thompson,90,58,55.74,-4.01,10.29
Sao Joao da Barra,92,97,-21.64,79.63,10.76
Plouzane,0,100,48.38,37.4,1.12
Suntar,64,59,62.16,-6.59,6.17
Iracoubo,92,95,5.48,74.68,5.28
Bredasdorp,36,87,-34.53,60.8,5.82
Port Keats,92,100,-14.25,79.59,8.3
Aripuana,88,94,-9.17,75.04,2.71
Isla Mujeres,20,69,21.23,75.2,4.7
Bilma,20,42,18.69,56.82,13.22
Lima,92,98,-12.06,61.59,0.36
Belyy Yar,75,77,53.6,6.8,2.24
Provideniya,90,86,64.42,28.4,31.32
Isoka,0,84,-10.15,63.84,7.18
Merauke,68,92,-8.49,84.04,4.38
Anito,8,97,12.45,82.02,4.38
Varkkallai,20,78,8.73,80.6,2.24
Cidreira,0,77,-30.17,69.28,13.44
Huarmey,100,74,-10.07,69.42,2.71
Sakti,0,57,22.03,64.78,5.61
Bethel,75,80,60.79,30.2,5.82
Kathmandu,75,87,27.71,51.8,2.24
Port Moresby,0,97,-9.47,82.65,16.46
Hailey,5,50,43.52,30.2,1.92
Caravelas,88,100,-17.73,80.98,13.22
Jacareacanga,64,97,-6.22,73.11,2.04
Cap-aux-Meules,90,86,47.38,28.4,11.41
Namibe,92,100,-15.19,76.71,6.73
Vaasa,0,79,63.1,24.8,9.17
Botad,0,50,22.17,64.92,7.18
Palauig,0,82,15.44,82.96,2.26
Filadelfia,32,70,-22.35,81.3,11.32
Kodiak,1,75,39.95,42.8,21.92
Dunn,1,68,35.31,71.6,10.29
Suoyarvi,76,87,62.08,13.71,3.94
Hobart,40,36,-42.88,62.6,25.28
Yantzaza,88,98,-3.83,62.49,1.92
Esperance,12,37,-33.86,88.5,11.54
Waynesville,90,100,37.83,69.8,17.22
Komsomolskiy,92,88,67.55,14.79,13.78
Yar-Sale,32,82,66.83,3.9,9.98
Ilulissat,48,77,69.22,1.4,6.93
Mar del Plata,32,33,-46.43,75.67,13.0
Cabra,0,94,13.89,81.84,10.87
Ulverstone,32,59,-41.16,60.37,17.69
Nago,20,65,26.59,77.0,12.75
Tautira,40,62,-17.73,87.8,4.7
Nuuk,68,92,64.17,10.4,6.93
Inyonga,0,68,-6.72,67.66,7.4
Touros,92,100,-5.2,74.32,4.16
Tandil,44,46,-37.33,74.01,13.44
Casma,100,95,-9.47,68.11,7.74
Sorland,88,100,67.67,36.84,28.99
Hovd,0,39,48.01,3.45,6.96
Katsuura,75,76,33.93,42.8,4.7
Kalevala,88,82,65.2,22.71,5.39
Goure,0,30,13.98,67.39,12.44
Iwanai,68,100,42.97,29.46,18.48
Portland,24,56,-33.35,67.39,2.82
Cairns,75,70,-16.92,87.8,8.05
Paamiut,68,100,61.99,22.39,32.12
Awbari,0,70,26.59,35.71,5.73
Verkhnetulomskiy,75,73,68.61,26.6,2.24
Shingu,75,39,33.72,50.0,6.93
Torbat-e Jam,24,84,35.24,26.22,2.82
Lander,1,92,42.83,12.2,3.71
Kangaatsiaq,68,100,68.31,2.68,7.18
Charters Towers,8,82,-20.07,88.32,5.17
Lanzhou,0,57,36.06,32.0,2.24
Sainte-Marie,20,78,14.78,75.2,12.75
Tabou,24,100,4.42,81.43,11.65
East London,0,100,-33.02,70.14,4.38
Lorengau,88,99,-2.02,83.41,13.44
Alyangula,0,98,-13.85,84.54,10.2
Kununurra,90,88,-15.77,80.6,5.84
Sechura,88,88,-5.56,75.49,5.95
Yuncheng,0,62,35.03,42.15,3.38
Lobito,76,94,-12.35,68.11,3.6
Barcelos,36,99,-0.97,74.32,2.93
Pontes e Lacerda,8,90,-15.23,73.33,2.71
Constitucion,0,98,-35.33,55.2,3.49
New Norfolk,40,36,-42.78,62.6,25.28
Shakhtinsk,75,83,49.71,-4.01,20.13
Jaque,20,51,7.52,80.98,4.61
Kragujevac,75,91,44.01,33.8,2.37
Ponta do Sol,92,100,17.2,66.27,6.17
Lastoursville,88,100,-0.81,71.4,1.36
Dunedin,64,41,-45.87,74.23,15.46
Geraldton,64,65,-28.77,82.4,10.29
Cayenne,75,94,4.94,75.2,6.93
Sao Jose da Coroa Grande,100,89,-8.9,77.7,6.17
Nsoko,12,95,-27.03,66.0,2.59
Chokurdakh,68,80,70.62,-4.34,14.79
Sola,68,89,-13.88,83.86,15.23
North Bend,1,87,43.41,46.4,10.29
Singaraja,20,74,-8.11,84.2,18.34
Skelleftea,12,92,64.75,28.4,6.93
Kudat,40,74,6.89,84.2,6.93
Verkhnyaya Inta,80,69,65.99,15.6,6.96
Matara,0,100,5.95,78.96,4.61
Martil,44,87,35.62,51.8,6.93
Barabai,56,78,-2.59,82.51,2.93
Luanda,0,88,-8.83,78.8,3.36
Riccione,0,92,44.0,32.0,3.36
Grand-Lahou,8,93,5.24,76.57,5.17
Mandurah,20,30,-32.55,93.2,16.11
Meulaboh,0,99,4.14,83.86,2.26
Deputatskiy,56,77,69.3,-18.79,3.94
Huangnihe,36,65,43.56,13.89,10.87
Singapore,75,78,1.29,82.4,10.29
Alta Floresta,44,96,-9.87,75.22,1.36
Kalmunai,12,99,7.42,76.26,6.06
Zaozerne,88,96,51.37,19.11,3.38
Singtam,20,57,27.23,58.8,0.92
Viedma,12,32,-40.81,83.41,14.34
Adrar,0,20,27.87,53.6,10.29
Vanimo,32,99,-2.67,84.0,19.48
Parintins,36,93,-2.63,75.9,2.26
Port Blair,0,100,11.67,80.44,10.76
Spoleto,0,71,42.74,20.23,2.37
Kalabo,88,96,-15.0,65.55,2.82
Timmins,90,77,48.48,5.0,11.41
Holland,40,93,42.79,39.2,3.36
Wolfratshausen,92,100,47.91,39.2,11.41
Nyurba,76,57,63.29,-5.96,6.17
Fairbanks,75,79,64.84,26.6,5.73
Manta,90,88,-0.95,77.0,4.7
Hamilton,75,82,32.3,68.0,9.17
High Rock,0,100,26.63,73.29,10.2
Belaya Gora,68,76,68.54,-7.22,5.17
Sisimiut,20,45,66.94,-29.36,1.59
Paita,100,97,-5.09,73.06,4.27
Mount Isa,64,12,-20.73,105.8,16.11
Hami,80,74,42.84,25.86,10.2
Concepcion del Uruguay,0,51,-32.48,72.88,8.41
Hersbruck,90,93,49.51,33.8,4.7
Mataram,80,90,-5.32,79.41,2.48
Boyolangu,48,88,-8.09,79.36,4.05
Puerto Cabezas,92,89,14.04,79.77,20.38
Itaituba,0,99,-4.26,71.76,2.37
Pangkalanbuun,36,74,-2.68,85.39,5.61
Kaeo,32,85,-35.1,75.76,9.53
Igarka,92,74,67.47,0.7,11.54
Rorvik,0,100,64.86,32.97,21.27
Salinas,36,100,0.49,51.19,1.81
Roros,80,79,62.57,23.0,5.82
Leh,76,69,34.16,3.94,2.82
Phan Thiet,8,88,10.93,77.38,3.94
Necochea,24,63,-38.55,70.95,16.69
Souillac,40,94,-20.52,77.0,3.36
Alofi,40,62,-19.06,84.2,16.11
Svetlogorsk,75,78,53.14,15.8,4.47
Aloleng,0,86,16.13,84.36,5.61
Yanam,8,72,16.73,76.03,5.39
Santiago,20,64,-27.14,78.73,3.49
Inta,80,71,66.04,15.19,7.52
Saint Lawrence,20,61,36.06,48.2,8.05
Quatre Cocos,40,94,-20.21,77.0,3.36
Vilhena,20,95,-12.74,71.67,1.7
Panama City,1,100,30.16,66.2,9.17
San-Pedro,56,88,4.75,78.69,7.4
Coruripe,92,100,-10.12,79.54,11.65
Boende,88,100,-0.28,69.73,1.92
Puerto Lempira,48,67,15.27,76.35,6.51
Tenenkou,0,44,14.46,66.58,11.65
Pisco,90,83,-13.71,73.4,13.87
Llanes,44,87,43.42,39.76,2.48
Ramgarh,0,60,27.26,56.77,1.7
Dudinka,68,78,69.41,-0.56,13.11
Tura,24,69,64.27,-10.55,2.37
Pimenta Bueno,64,98,-11.68,71.4,2.26
Zabaykalsk,0,39,49.63,5.25,7.74
Bambamarca,92,99,-6.68,52.32,1.7
Keflavik,75,93,64.0,35.6,29.97
Erenhot,0,46,43.65,14.34,5.17
Parrita,20,68,9.52,69.8,20.8
Praia da Vitoria,40,87,38.73,51.8,10.42
Ngunguru,8,98,-35.62,73.33,9.75
Yuzhno-Kurilsk,48,100,44.03,25.36,14.9
Skibotn,0,85,69.39,21.2,2.24
Vanavara,32,63,60.35,-8.57,4.27
Hegra,0,55,63.46,33.8,17.22
Turukhansk,68,76,65.8,-3.35,9.86
Mahebourg,40,94,-20.41,77.0,3.36
Gaozhou,0,76,21.91,71.31,1.59
Dashitou,44,68,43.3,19.02,13.67
Iqaluit,90,55,63.75,-23.81,3.36
Waterford,1,90,42.76,42.8,6.93
Bronnoysund,0,55,65.46,33.8,27.51
Karratha,0,37,-20.74,98.22,14.45
Ghanzi,8,96,-21.7,61.41,6.17
Booue,80,100,-0.09,74.55,3.04
Chuy,0,81,-33.69,68.97,14.34
Bansi,0,76,27.18,61.59,4.38
Moralillo,5,83,22.23,71.6,8.86
Manchester,75,93,43.0,48.2,5.82
Bambanglipuro,64,88,-7.95,79.81,3.15
Grand Forks,1,77,47.91,1.4,5.82
Awjilah,8,86,29.14,51.37,12.77
Deer Lake,90,86,49.18,26.6,6.93
Belmonte,8,78,-26.84,72.12,7.29
El Reno,75,59,35.53,71.6,6.93
Grand-Bourg,20,83,15.88,73.4,9.17
Gros Islet,20,73,14.07,77.0,6.93
Malartic,90,92,48.14,17.6,12.75
Sur,0,96,22.57,70.27,1.25
Tarrafal,0,53,15.28,73.4,13.87
Strathroy,90,100,42.96,41.0,4.7
Ixtapa,0,70,20.71,67.48,1.59
Pringsewu,80,90,-5.36,79.41,2.48
Atambua,92,100,-9.11,73.78,7.74
Okato,0,97,-39.19,71.04,8.75
Ucluelet,92,100,48.94,33.82,1.59
Tshikapa,36,97,-6.42,68.56,2.15
Erdenet,56,72,49.03,5.47,3.27
Corner Brook,90,86,48.95,26.6,6.93
Okmulgee,1,64,35.62,73.4,8.05
Vao,92,100,-22.67,78.73,35.37
Arenapolis,12,90,-14.45,74.91,2.26
Lake Wales,75,73,27.9,71.6,4.7
Healesville,0,33,-37.65,71.6,14.99
Ahuimanu,75,78,21.44,78.8,9.17
Luderitz,36,82,-26.65,64.4,5.82
Polunochnoye,0,54,60.87,-4.61,2.93
Altay,12,58,47.83,1.06,3.6
Fort Wellington,80,100,6.4,76.26,12.44
Pochutla,0,100,15.74,80.94,2.37
Dzhebariki-Khaya,32,41,62.22,-26.89,3.38
Rawson,20,31,-43.3,85.84,9.75
General Jose Eduvigis Diaz,0,61,-27.17,80.6,5.82
Kamenka,48,83,53.19,7.77,7.63
Nowy Sacz,0,68,49.62,26.6,11.41
Port Hedland,40,44,-20.31,96.8,13.87
Roma,0,32,-26.57,94.17,10.98
Millbrook,90,86,44.15,39.2,5.82
Nova Olinda do Norte,0,95,-3.89,76.84,2.59
Bela Vista,36,76,-22.11,77.11,6.62
Tucurui,24,96,-3.77,72.79,2.26
Waitati,64,41,-45.75,74.23,15.46
Stephenville Crossing,90,100,48.5,26.6,3.36
Lucknow,64,94,43.96,32.29,9.64
Serebryansk,90,84,49.68,-0.41,2.24
Jiazi,75,83,19.61,73.4,4.47
Ancud,88,94,-41.87,60.42,5.28
Burgeo,68,100,47.61,32.07,11.77
Marshall,90,100,39.39,66.2,9.17
Benguela,80,100,-12.58,78.42,5.95
Ndele,0,76,8.41,70.81,2.93
Saurimo,32,96,-9.66,64.11,2.59
Ulaangom,0,51,49.98,0.34,4.61
Jining,76,71,35.41,42.64,4.61
Pokaran,0,76,26.93,55.47,2.93
Tres Arroyos,0,53,-38.38,71.49,9.19
Tupa,12,89,-21.93,69.28,14.67
Flinders,0,51,-34.58,80.6,10.29
Bandarbeyla,0,100,9.49,75.04,14.12
Gisborne,0,59,-38.66,79.59,2.15
Alugan,8,92,12.22,82.47,4.72
San Andres,20,89,8.22,80.04,9.42
Mangan,0,31,27.5,28.78,1.36
Griffith,0,77,-34.29,75.58,6.96
Rio Grande,48,89,-32.03,71.49,17.25
Assomada,0,53,15.1,73.4,13.87
Port Augusta,40,53,-32.49,73.4,10.29
Atasu,76,75,48.68,-0.56,7.85
Hasaki,75,45,35.73,46.4,6.93
San Cristobal,92,100,-1.02,61.18,1.14
Curitibanos,80,90,-27.29,60.06,4.72
Goundam,0,49,16.42,63.66,9.86
Labuhan,36,68,-2.54,85.71,3.94
Kompaniyivka,92,99,48.25,32.7,4.83
Jaguey Grande,20,78,22.53,71.6,8.05
Whitehorse,90,85,60.72,21.2,11.41
Sao Filipe,92,100,14.9,68.97,14.79
Vila Franca do Campo,75,87,37.72,55.4,19.46
Oranjemund,92,93,-28.55,62.71,16.02
Amalapuram,8,72,16.58,76.03,5.39
Methoni,20,65,36.82,46.4,10.29
Coihaique,0,93,-45.58,59.0,10.29
Kiri Buru,0,50,22.08,64.42,3.04
Margate,0,93,-30.86,68.56,2.71
Seminole,40,40,32.72,68.0,12.75
Cocorit,90,47,27.57,77.0,2.24
Kyra,0,45,49.58,4.93,3.38
Dharampuri,0,56,22.17,61.54,4.61
Marathon,56,82,48.72,7.5,6.62
Puri,0,88,19.8,68.0,3.94
Saldanha,80,82,-33.01,62.6,8.05
Portel,92,100,-1.94,73.65,3.6
Zonguldak,80,96,41.25,41.97,0.92
Grafton,1,59,48.41,1.4,10.29
Kalangala,80,90,-0.32,79.86,11.88
Grindavik,75,93,63.84,35.6,29.97
Terney,0,100,45.05,20.77,9.42
Pincher Creek,20,67,49.49,21.2,13.87
Inuvik,90,76,68.36,-4.01,4.7
Bull Savanna,8,69,17.89,73.51,5.28
Cochrane,1,51,51.19,14.0,12.75
Gua,0,50,22.2,64.42,3.04
Itupiranga,0,100,-5.13,77.0,2.24
Olinda,40,78,-22.82,78.8,3.36
Djenne,0,42,13.91,67.66,11.43
Hearst,56,54,49.69,-0.56,5.61
Batagay-Alyta,36,64,67.8,-15.82,0.92
Gilgit,88,89,35.92,20.59,0.92
Greymouth,68,92,-42.45,66.49,6.62
Mossendjo,92,96,-2.95,72.16,2.15
Carman,1,64,49.51,-2.21,9.17
Manitouwadge,64,56,49.12,5.52,4.27
Anjiang,32,100,27.32,48.94,3.38
Tamandare,92,98,-8.28,70.99,1.7
Yankton,56,88,42.87,15.51,20.71
Le Mars,75,79,42.79,26.6,13.87
Coahuayana,0,67,18.62,64.69,1.7
San Matias,8,86,-16.36,77.16,2.71
Porto Murtinho,76,91,-21.7,75.76,1.92
Consolacion del Sur,0,80,22.5,72.84,6.62
Nakonde,0,88,-9.33,62.98,4.5
Madang,44,95,-5.21,80.67,4.94
Puerto Escondido,0,100,15.86,81.75,2.93
Manicore,20,98,-5.81,73.47,2.15
Kingsville,1,88,27.52,69.8,14.99
Pacific Grove,1,62,36.62,57.2,5.61
Norilsk,88,73,69.35,-2.72,8.75
Lancaster,90,100,40.04,57.2,8.05
Dhidhdhoo,88,100,6.88,81.07,14.67
Ilebo,8,92,-4.33,74.82,2.71
Saint Pete Beach,90,77,27.73,71.6,4.27
Pontianak,40,74,-0.02,82.4,9.17
Zolotonosha,92,95,49.67,30.31,5.84
Burley,1,58,42.54,30.2,12.75
Port Hawkesbury,90,92,45.62,32.0,6.93
Oriximina,20,93,-1.77,76.17,2.71
Tamiahua,0,95,21.28,71.44,7.63
Dauriya,0,50,49.93,3.99,5.17
Dombarovskiy,36,62,50.76,-13.52,3.6
Razole,8,100,16.48,77.07,3.71
Traunstein,75,85,47.87,35.6,11.41
Mikhaylovka,0,83,54.89,-9.41,6.71
Tignere,0,55,7.37,63.07,6.17
Maple Creek,0,66,49.91,-2.59,8.41
Chinsali,8,85,-10.55,64.29,6.96
Teya,44,70,60.37,-10.69,2.48
Cabedelo,88,98,-6.97,80.04,10.2
Demak,92,100,-6.89,78.19,18.81
Ust-Koksa,68,61,50.27,8.31,4.94
Kosh-Agach,0,43,49.99,3.04,7.96
Konstantinovka,90,92,51.44,8.6,6.71
Isangel,75,84,-19.55,86.0,17.22
La Brea,0,82,15.8,64.96,1.92
Henties Bay,76,100,-22.12,63.79,4.16
Afua,32,100,-0.16,78.24,7.74
Batagay,48,44,67.65,-28.19,4.16
Paso de los Toros,0,51,-32.81,74.59,19.93
Christchurch,68,28,-43.53,84.2,19.46
Mpika,20,83,-11.84,64.42,5.73
Presidencia Roque Saenz Pena,48,51,-26.79,82.56,11.1
Polis,75,76,35.04,51.8,6.93
Coos Bay,1,87,43.37,46.4,10.29
Maceio,40,88,-9.67,75.2,4.7
Lao Cai,0,65,22.48,68.34,1.36
Vila Velha,0,94,-3.71,77.0,4.7
Pimentel,90,69,-6.84,77.0,8.05
Champerico,0,81,14.3,75.22,4.94
Vysokogornyy,8,52,50.1,2.64,3.15
Mozarlandia,0,79,-14.74,70.41,2.93
Pangody,80,82,65.85,3.76,10.65
Mount Darwin,32,92,-16.77,66.45,4.94
Loukhi,32,87,66.08,21.58,6.29
Sabang,8,100,1.17,83.19,4.94
Svetlaya,0,100,46.54,20.86,6.51
Gualaco,40,68,15.03,69.8,2.24
Constitucion,75,32,23.99,69.8,4.7
Rockport,75,94,28.02,69.8,10.29
Sumbe,36,100,-11.2,78.15,6.73
Sidi Bin Nur,90,87,35.53,53.6,6.93
Itapirapua,24,64,-15.82,73.65,3.49
Sucua,68,94,-2.46,63.97,1.92
Cotacachi,75,93,0.3,57.2,5.82
Shelby,1,84,48.51,1.4,6.93
Victor Harbor,20,53,-35.55,71.6,16.11
Kundgol,48,52,15.25,70.36,6.51
Sangolqui,75,93,-0.33,57.2,5.82
Polson,0,44,47.69,20.91,4.94
Maine-Soroa,0,34,13.21,69.87,11.65
Georgiyevka,48,92,43.04,18.84,1.14
Port Lavaca,90,94,28.61,69.8,12.75
Cody,1,84,44.53,5.0,6.93
Sandnessjoen,8,55,66.02,33.8,27.51
Gotemba,20,36,35.3,44.6,4.7
Conceicao do Araguaia,20,88,-8.26,75.04,5.17
Banyo,64,47,6.75,70.72,5.73
Nadym,80,67,65.53,2.86,8.3
Maragogi,100,89,-9.01,77.7,6.17
Bulgan,20,66,48.81,7.32,3.83
Iida,8,41,35.45,40.12,2.04
Gigmoto,48,100,13.78,79.77,2.37
Matagami,75,84,49.76,1.4,14.99
Mongar,0,50,27.28,55.87,1.7
Cap Malheureux,40,94,-19.98,77.0,3.36
Pitea,44,92,65.32,26.6,10.29
Taoudenni,0,30,22.68,53.04,6.96
Khandyga,32,41,62.65,-26.89,3.38
Ahipara,76,82,-35.17,76.03,7.74
Dir,12,96,35.21,25.95,1.59
Mabaruma,92,100,8.2,73.65,7.63
Moron,40,73,22.11,75.2,14.99
Thinadhoo,80,100,0.53,80.31,3.04
Pinawa,0,62,50.15,-13.61,6.96
Noyabrsk,80,70,63.2,1.65,5.95
Bor,90,85,49.71,32.0,2.24
Kuching,75,74,1.56,84.2,5.82
Le Vauclin,20,78,14.55,77.0,12.75
Abeche,0,49,13.83,72.79,8.97
Zaysan,0,80,47.47,6.19,5.84
Rosario,0,61,-32.96,78.8,5.82
Snasa,32,73,64.25,23.07,9.42
Chernyshevskiy,48,75,63.01,-11.99,3.94
Sao Felix do Xingu,68,99,-6.64,71.94,2.15
Whakatane,0,100,-37.96,72.52,6.4
Itacoatiara,48,95,-3.14,76.62,2.82
Big Rapids,1,74,43.7,37.4,9.17
Half Moon Bay,1,47,37.46,60.8,13.87
Kingman,1,49,35.19,66.2,8.05
Trojes,24,81,14.08,66.31,4.72
Oksfjord,56,68,70.24,26.6,8.05
Mityana,0,70,0.4,60.87,3.71
Makokou,92,100,0.56,71.04,2.93
Vegueta,92,99,-11.02,58.89,0.92
Ukiah,1,40,39.15,51.8,3.36
Chato,36,91,-2.64,69.51,7.63
Havre,1,77,48.55,-0.41,10.29
Masumbwe,20,50,-3.65,71.76,10.54
Santiago de Cao,90,83,-7.96,69.8,6.93
Muravlenko,48,69,63.79,-1.1,8.08
Balikpapan,20,74,-1.24,84.2,4.7
Reinosa,64,100,43.0,51.8,2.26
Hirara,75,88,24.8,75.2,12.75
Chapleau,90,84,47.85,6.8,8.05
Lumeje,92,96,-11.56,66.04,2.93
Port Pirie,40,53,-33.18,73.4,10.29
Lucapa,24,94,-8.42,65.59,2.71
Collie,88,34,-33.36,84.76,13.78
Bonavista,92,99,48.65,28.51,8.41
Alice Springs,92,43,-23.7,87.8,4.7
Sebring,75,73,27.5,71.6,4.7
Pocone,48,87,-16.26,76.26,3.6
Terrak,76,55,65.09,33.8,27.51
Balkhash,8,95,46.84,0.12,4.16
Los Algarrobos,0,88,8.5,75.13,10.42
Mitzic,92,99,0.78,72.34,2.04
Palembang,40,83,-2.99,80.6,3.36
Bay City,75,83,43.59,39.2,10.29
Novikovo,88,89,51.15,23.16,9.31
Selaphum,0,57,16.03,80.6,5.82
Beltangadi,36,51,13.98,76.89,5.28
Alice,1,88,27.75,69.8,14.99
Poronaysk,20,87,49.22,7.81,6.4
Jaynagar-Majilpur,0,68,22.18,64.4,3.36
